2024 Top 50 Prospects: Position Players (mlb.com) - Pitcherlist.com Data,,,,,,,,,,,,,,Rank (Rk) ,Player Name,Age,PROJ - Hitting WAR,PROJ - wOBA,PROJ - wRC+,PROJ - Runs per PA/AB  (based on data on right),"League Avg wOBA = .320, wOBA scale = 1.25 (Fangraphs)",Avg PA in MLB - 550 (full season),,,,Data for Top 50 Hitting Prospects from mlb.com,,,,,,,,,,,,,,,,,,,,,,,Calculating MLE for Top 50 Hitting Prospects based on their Current MiLB Stats (Info from Dan Szymborski),,,,,,,,,,,,,,,,,,PF for Each Top 50 Prospect,,,,,,
Rank (Rk) ,Player Name,Team,Age,Draft Pos,Position Played,MLB - WAR,Spd (out of 80) - Minors,BB% - Minors,K% - Minors,ISO - minors,OPS+ - minors,,,1,Dylan Crews,22,0.71,0.455,111,0.12,"OBP scale for wOBA = 0.69, SLG scale for wOBA = 0.72",,,,,Rank,Player Name,Age,Level,PA,AB,R,Outs,H,2B,3B,HR,TB,BB,SO,SB,CS,AVG,OBP,SLG,OPS,League OPS (FanGraph) = 0.735,,Rank,Player Name,Age,PF,ABs,R,H,2B,3B,HR,BB,SO,AVG,OBP,SLG,OPS,standard 18% reduction in ability when moving from AAA/Minors to the MLB,,Arizona Diamondbacks,0.87,,,,,
37,Colson Montgomery,White Sox,22,SS,Position Player,0,50,12,28.6,0.167,97,,,38,Cole Young,21,0.58,0.426,108,0.12,,,,,,37,Colson Montgomery,22,AAA,573,485,66,381,104,21,3,18,185,63,69,164,8,0.214,0.329,0.381,0.71,,,37,Colson Montgomery,22,1.17,481,63,100,20,2,17,60,85,0.208,0.256,0.367,0.623,,,Washington Nationals,0.99,,,,,99.33
38,Cole Young,Mariners,21,SS,Position Player,0,55,12.1,15.8,0.119,103,,,39,Dalton Rushing,23,1.29,0.527,117,0.14,,,,,,38,Cole Young,21,AA,552,469,67,342,127,25,2,9,183,57,67,87,23,0.271,0.369,0.39,0.759,,,38,Cole Young,21,1,446,55,104,21,1,7,47,70,0.233,0.268,0.335,0.603,,,,,,,,,
39,Dalton Rushing,Dodgers,23,C,Position Player,0,40,12.7,20.5,0.240,122,,,41,Chase Delauter,23,1.08,0.489,114,0.15,,,,,,39,Dalton Rushing,23,ALL (2),503,420,69,306,114,21,1,26,215,85,64,103,2,0.271,0.384,0.512,0.896,,,39,Dalton Rushing,23,1,399,57,93,17,1,21,70,67,0.234,0.304,0.441,0.745,,,,,,,,,
41,Chase Delauter,Guardians,23,OF,Position Player,0,55,11.6,13.4,0.239,114,,,43,Jeferson Quero,21,0.72,0.446,110,0.13,,,,,,41,Chase DeLauter,23,ALL (3),164,142,25,105,37,10,0,8,71,24,19,22,1,0.261,0.341,0.5,0.841,,,41,Chase DeLauter,23,0.95,134,19,29,8,0,6,19,19,0.215,0.277,0.413,0.690,,,,,,,,,
43,Jeferson Quero,Brewers,21,C,Position Player,0,40,8.9,16.6,0.167,108,,,44,Moises Ballesteros,21,0.94,0.515,116,0.11,,,,,,43,Jeferson Quero,21,ALL,869,771,116,557,214,39,3,28,343,81,154,19,5,0.278,0.35,0.445,0.795,,,43,Jeferson Quero,21,0.99,731,94,174,32,2,23,66,160,0.238,0.250,0.380,0.630,,,,,,,,,
44,Moises Ballesteros,Cubs,21,1B,Position Player,0,20,8.9,18.3,0.183,112,,,45,Nick Kurtz,21,6.02,0.743,134,0.32,,,,,,44,Moises Ballesteros,21,ALL (2),508,454,57,323,131,24,1,19,214,78,45,93,1,0.289,0.354,0.471,0.825,,,44,Moises Ballesteros,21,1.01,431,47,108,20,1,16,65,48,0.251,0.318,0.410,0.728,,,,,,,,,
45,Nick Kurtz,A's,21,1B,Position Player,0,40,24,20,0.395,175,,,47,Lazaro Montes,20,1.42,0.524,116,0.16,,,,,,45,Nick Kurtz,21,ALL (2),50,38,14,24,14,3,0,4,29,13,12,10,1,0.368,0.52,0.763,1.283,,,45,Nick Kurtz,21,1,35,11,11,2,0,3,11,13,0.324,0.377,0.670,1.047,,,,,,,,,
47,Lazaro Montes,Mariners,20,OF,Position Player,0,50,14.4,23.6,0.196,120,,,48,Josue De Paula,19,0.78,0.435,109,0.15,,,,,,47,Lazaro Montes,20,ALL (2),542,448,82,319,129,21,2,21,217,105,78,128,5,0.288,0.397,0.484,0.881,,,47,Lazaro Montes,20,1,425,67,106,17,1,17,86,82,0.249,0.324,0.418,0.741,,,,,,,,,
48,Josue De Paula,Dodgers,19,OF,Position Player,0,45,17.5,19.8,0.138,110,,,49,Harry Ford,21,0.44,0.390,106,0.14,,,,,,48,Josue De Paula,19,ALL (2),481,385,69,282,103,17,3,10,156,62,84,95,27,0.268,0.404,0.405,0.809,,,48,Josue De Paula,19,1,366,57,84,14,2,8,51,88,0.230,0.268,0.347,0.615,,,,,,,,,
49,Harry Ford,Mariners,21,C,Position Player,0,60,14.1,22,0.119,101,,,,,,,,,,,,,,,49,Harry Ford,21,AA,523,430,72,323,107,26,2,7,158,45,74,115,35,0.249,0.377,0.367,0.744,,,49,Harry Ford,21,1,411,59,88,21,1,6,37,78,0.214,0.237,0.314,0.551,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
